"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.76127906410136e-83,-1.54201824236993,0.128,0.254,1.91098778454998e-79,"DSCAM"
0,-1.55065923019311,0.47,0.787,0,"LSAMP"
1.25560403684175e-81,-1.55159546431298,0.143,0.268,1.3623303799733e-77,"OPCML"
8.76129559080322e-255,-1.55665518869674,0.157,0.425,9.50600571602149e-251,"RP11-384F7.2"
1.94321279858039e-128,-1.58611815787139,0.102,0.261,2.10838588645973e-124,"SLC35F1"
1.37218666860441e-226,-1.63064901119198,0.214,0.473,1.48882253543578e-222,"LRRC4C"
3.07627613772363e-255,-1.65438973410189,0.179,0.445,3.33775960943014e-251,"NTRK2"
1.18862094548853e-191,-1.68119078964915,0.132,0.348,1.28965372585506e-187,"PTPRZ1"
1.59133493328009e-178,-1.70723655330297,0.09,0.281,1.7265984026089e-174,"SOX5"
4.76338632857311e-268,-1.72730979382204,0.146,0.416,5.16827416650183e-264,"FAM155A"
5.75678855298444e-151,-1.77383247275723,0.088,0.258,6.24611557998811e-147,"CACNB2"
0,-1.7897535625136,0.206,0.531,0,"RORA"
1.0098699751319e-189,-1.85044878575185,0.073,0.265,1.09570892301811e-185,"C10orf11"
2.03844341051944e-261,-1.87217538985993,0.218,0.498,2.2117111004136e-257,"DPP10"
8.91809183256641e-258,-1.87366569343547,0.116,0.369,9.67612963833456e-254,"C1orf61"
4.38976815527749e-269,-1.91919835187811,0.166,0.439,4.76289844847607e-265,"APOE"
8.56079063908483e-196,-1.9436293927348,0.088,0.289,9.28845784340704e-192,"PREX2"
0,-1.95909455329343,0.23,0.571,0,"CTNNA2"
7.17596530825747e-215,-1.96023451904769,0.118,0.34,7.78592235945935e-211,"SPARCL1"
4.07635167333084e-211,-1.96924370582091,0.073,0.278,4.42284156556396e-207,"CSGALNACT1"
3.69518111645392e-191,-1.98392111973388,0.078,0.271,4.0092715113525e-187,"TENM2"
9.87070549520548e-198,-1.99258567293395,0.094,0.298,1.07097154622979e-193,"SOX6"
0,-2.06581470585209,0.217,0.529,0,"GPM6A"
1.63008610575911e-231,-2.15265637795201,0.084,0.304,1.76864342474864e-227,"GABRB1"
0,-2.19430252875629,0.225,0.569,0,"NRXN1"
3.47890638211532e-229,-2.32901244733457,0.104,0.325,3.77461342459512e-225,"ADGRV1"
8.56152586335027e-266,-2.53374778330606,0.148,0.396,9.28925556173505e-262,"GPC5"
8.28959352333144e-277,-2.62654530199119,0.162,0.425,8.99420897281462e-273,"SLC1A2"
4.67916490619093e-289,-3.14348487317296,0.04,0.264,5.07689392321716e-285,"LSAMP-AS1"
0,-3.19907822003663,0.062,0.346,0,"NKAIN3"
2.72790843218522e-268,-3.26903713511541,0.046,0.26,2.95978064892097e-264,"RNF219-AS1"
