"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
9.49766436233753e-08,-0.349562209823236,0.234,0.272,0.00103049658331362,"ADARB2"
8.26946422598967e-15,-0.352279572617875,0.272,0.332,8.97236868519879e-11,"KCNH8"
1.73348189936455e-28,-0.35249606509917,0.314,0.414,1.88082786081053e-24,"TJP1"
1.20740308932747e-16,-0.352589753025754,0.262,0.325,1.3100323519203e-12,"ANO4"
1.57073724135747e-30,-0.354334494301749,0.269,0.37,1.70424990687285e-26,"JMJD1C"
1.13557124071639e-19,-0.357507789764918,0.333,0.413,1.23209479617729e-15,"PLXDC2"
1.5632823139213e-53,-0.361620598188371,0.469,0.62,1.69616131060461e-49,"WWOX"
8.73959904776905e-25,-0.366694170357547,0.206,0.288,9.48246496682942e-21,"RABGAP1L"
5.05857592401866e-25,-0.369580464727658,0.305,0.392,5.48855487756025e-21,"DMD"
5.58234505107863e-19,-0.373289050451406,0.187,0.254,6.05684438042031e-15,"ANKRD44"
3.59106933844684e-38,-0.375959874446816,0.323,0.442,3.89631023221482e-34,"ZSWIM6"
4.50777413761765e-19,-0.375984030640433,0.193,0.26,4.89093493931515e-15,"FAM172A"
7.69934753873108e-23,-0.376640556172265,0.192,0.268,8.35379207952322e-19,"ZNF280D"
3.15183273648033e-28,-0.379712687439636,0.265,0.359,3.41973851908116e-24,"DOCK3"
1.1358152098868e-14,-0.388483274781691,0.286,0.355,1.23235950272718e-10,"TMSB4X"
7.68734228037163e-11,-0.38991395328219,0.302,0.348,8.34076637420321e-07,"MT2A"
1.49844759929682e-25,-0.390457528522988,0.201,0.282,1.62581564523705e-21,"SGIP1"
9.02397710793067e-28,-0.396403412438978,0.227,0.315,9.79101516210478e-24,"ADD3"
1.74969062382311e-31,-0.399806148009094,0.232,0.328,1.89841432684808e-27,"ARID1B"
2.08788708564782e-203,-0.403057174291176,1,1,2.26535748792789e-199,"MALAT1"
4.61914401731717e-67,-0.408013983283986,0.702,0.816,5.01177125878913e-63,"DLG2"
3.77899216739761e-31,-0.413735413005221,0.188,0.277,4.1002065016264e-27,"SORBS1"
5.435108956945e-32,-0.414345242183377,0.238,0.334,5.89709321828533e-28,"BAZ2B"
3.22927633319278e-27,-0.414792493046374,0.179,0.26,3.50376482151416e-23,"NKTR"
5.26568231460812e-27,-0.420726504683096,0.539,0.593,5.71326531134981e-23,"NLGN1"
5.29920820396157e-43,-0.421484021617389,0.426,0.545,5.74964090129831e-39,"CDH20"
8.98627115737745e-42,-0.428724895645215,0.293,0.412,9.75010420575454e-38,"AKT3"
2.26448380917195e-32,-0.436876750882105,0.231,0.328,2.45696493295157e-28,"EIF4G3"
3.32383114806126e-27,-0.437748086875452,0.194,0.277,3.60635679564647e-23,"SASH1"
2.97762298895716e-11,-0.438628687633271,0.434,0.466,3.23072094301852e-07,"NKAIN2"
1.71558343620273e-26,-0.44775980615313,0.206,0.289,1.86140802827996e-22,"RPL10"
1.03494061874167e-19,-0.460760879395318,0.229,0.298,1.12291057133471e-15,"H3F3B"
4.17915694174151e-43,-0.464233753458727,0.261,0.377,4.53438528178954e-39,"PSD3"
2.64741070777252e-34,-0.469591469490716,0.211,0.308,2.87244061793319e-30,"MED13L"
1.21723069419326e-29,-0.480614691718496,0.183,0.268,1.32069530319969e-25,"TAOK3"
1.61121357961818e-27,-0.5062148226364,0.194,0.275,1.74816673388573e-23,"SLC9A9"
4.04774227173966e-33,-0.525669002315777,0.218,0.311,4.39180036483753e-29,"KIF13A"
1.1809600114596e-41,-0.528125479937741,0.17,0.272,1.28134161243366e-37,"PPP3CA"
2.03096405090313e-23,-0.530047496570815,0.312,0.393,2.2035959952299e-19,"MEG3"
1.00699516090911e-33,-0.536826335891082,0.408,0.5,1.09258974958638e-29,"NRXN3"
2.18014870968858e-42,-0.563260993069823,0.224,0.331,2.3654613500121e-38,"PPFIA2"
4.47759139604919e-39,-0.564560116907373,0.157,0.252,4.85818666471337e-35,"PCM1"
2.54644496059807e-62,-0.574225313724109,0.244,0.383,2.76289278224891e-58,"GNAQ"
5.50264230238706e-45,-0.575729351786042,0.19,0.299,5.97036689808996e-41,"EXOC4"
