"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.57691709821448e-23,0.57228017536315,0.335,0.267,1.71095505156271e-19,"AD","DIP2C"
4.08672095355932e-22,0.364922959698255,0.403,0.325,4.43409223461186e-18,"AD","TF"
4.42418256986872e-22,0.498443624572411,0.487,0.447,4.80023808830756e-18,"AD","DDX17"
1.71096026996325e-21,0.291633313172024,0.463,0.376,1.85639189291012e-17,"AD","SHTN1"
5.38207012808002e-20,0.524125374425777,0.313,0.251,5.83954608896682e-16,"AD","CDK19"
2.94065944402869e-19,0.548971905017415,0.297,0.238,3.19061549677113e-15,"AD","DDX5"
8.8685022147004e-18,0.442408907903009,0.336,0.276,9.62232490294993e-14,"AD","DNAJC6"
1.5259947805481e-17,0.48873262341405,0.339,0.279,1.65570433689469e-13,"AD","DPYD"
5.88531458830249e-15,0.415390045799466,0.343,0.289,6.3855663283082e-11,"AD","TUBA1A"
1.05728469756041e-14,0.483319994748445,0.274,0.222,1.14715389685304e-10,"AD","HTRA1"
1.51275498932298e-14,0.379608720182395,0.254,0.198,1.64133916341543e-10,"AD","MAG"
5.30795951010013e-14,0.404345882094445,0.297,0.246,5.75913606845864e-10,"AD","UBC"
2.41574630234039e-13,0.306013642256459,0.543,0.5,2.62108473803933e-09,"AD","FRMD5"
3.48978132462337e-13,0.282105100321637,0.342,0.282,3.78641273721635e-09,"AD","ENPP2"
5.08177257710532e-13,0.39776768850477,0.347,0.299,5.51372324615927e-09,"AD","KIAA0930"
5.59063451445382e-13,0.37767262772971,0.282,0.229,6.0658384481824e-09,"AD","SLCO1A2"
7.20649896859372e-13,0.26923117164884,0.46,0.407,7.81905138092418e-09,"AD","ELMO1"
1.12833425945961e-11,0.380351095093226,0.287,0.239,1.22424267151368e-07,"AD","KIRREL3"
4.8877501977144e-11,0.373715928139365,0.404,0.371,5.30320896452012e-07,"AD","ARHGAP21"
6.30798253866385e-11,0.448287087807519,0.296,0.255,6.84416105445028e-07,"AD","EIF1"
8.12073534671958e-11,0.328631890140095,0.438,0.405,8.81099785119075e-07,"AD","ARAP2"
8.17139748666367e-10,0.282322237580779,0.456,0.423,8.86596627303008e-06,"AD","RTN4"
1.0175929388307e-09,0.257043270941433,0.281,0.235,1.1040883386313e-05,"AD","HHIP"
2.69017459544914e-09,0.29278273101312,0.397,0.36,2.91883943606231e-05,"AD","GLUL"
7.74639289426566e-09,0.359963635529589,0.332,0.296,8.40483629027824e-05,"AD","GTF2I"
8.30647146806093e-09,0.359481373732209,0.442,0.426,9.01252154284611e-05,"AD","CCDC88A"
2.07578482267269e-08,0.337337174974552,0.325,0.291,0.000225222653259987,"AD","HNRNPDL"
6.93846791566621e-08,0.308896622634142,0.275,0.238,0.000752823768849784,"AD","PXK"
1.2684584810184e-07,0.2871618300634,0.267,0.23,0.00137627745190497,"AD","SLCO3A1"
1.08820541478881e-06,0.336069170911993,0.349,0.323,0.0118070287504586,"AD","PDE8A"
1.14615094739517e-06,0.287304486127522,0.256,0.223,0.0124357377792376,"AD","PLEKHH1"
4.13703789818218e-06,0.325528667069533,0.321,0.296,0.0448868611952766,"AD","PICALM"
6.27274710629114e-06,0.28500179783726,0.392,0.371,0.0680593061032588,"AD","PTPRK"
7.0857357546148e-06,0.341719256253525,0.291,0.266,0.0768802329375706,"AD","ANKRD12"
3.54221317381144e-05,0.286498380311036,0.377,0.361,0.384330129358541,"AD","DPYSL2"
